Реестровый номер закупки;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона;;;;
№0373100119820000004;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";15.07.2020;13.08.2020;Определение поставщика завершено;;15.07.2020;06.08.2020;;;;;
№0373100119820000002;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";30.04.2020;02.07.2020;Определение поставщика завершено;;30.04.2020;28.05.2020;;;;;
№0373100119820000003;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";28.05.2020;26.06.2020;Определение поставщика завершено;;28.05.2020;22.06.2020;;;;;
№0195400000220000196;30.11.32.112: Буксиры рейдовые;30.11.32.112: Буксиры рейдовые;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;15.05.2020;09.06.2020;Определение поставщика завершено;;15.05.2020;03.06.2020;;;;;
№0373100119820000001;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";30.04.2020;29.05.2020;Определение поставщика завершено;;30.04.2020;28.05.2020;;;;;
№0490000000819000005;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.12.2019;07.04.2020;Определение поставщика завершено;;13.02.2020;26.03.2020;;;;;
№0490000000819000006;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.12.2019;07.04.2020;Определение поставщика завершено;;13.02.2020;26.03.2020;;;;;
№0490000000819000004;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.12.2019;30.03.2020;Определение поставщика завершено;;21.02.2020;19.03.2020;;;;;
№31908219977;30.11.32.110: Суда морские буксирные;30.11.32.110: Суда морские буксирные;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЗАВОД ""ЗВЕЗДА""";;21.08.2019;13.03.2020;Закупка отменена;;21.08.2019;16.04.2020;;;;;
№0195400000219000688;30.11.32.112: Буксиры рейдовые;30.11.32.112: Буксиры рейдовые;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;12.11.2019;19.12.2019;Определение поставщика завершено;;12.11.2019;28.11.2019;;;;;
№31908323971;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;20.09.2019;20.09.2019;Закупка завершена;;20.09.2019;07.10.2019;;;;;
№0172200002519000156;30.11.32.121: Буксиры речные;30.11.32.121: Буксиры речные;КОМИТЕТ ПО ПРИРОДОПОЛЬЗОВАНИЮ, ОХРАНЕ ОКРУЖАЮЩЕЙ СРЕДЫ И ОБЕСПЕЧЕНИЮ ЭКОЛОГИЧЕСКОЙ БЕЗОПАСНОСТИ;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;21.08.2019;16.09.2019;Определение поставщика завершено;;21.08.2019;12.09.2019;;;;;
№31908146623;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;29.07.2019;20.08.2019;Закупка завершена;;29.07.2019;29.08.2019;;;;;
№0373100119619000005;30.11.24.115: Суда грузопассажирские морские;30.11.24.115: Суда грузопассажирские морские;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";25.06.2019;07.08.2019;Определение поставщика завершено;;25.06.2019;24.07.2019;;;;;
№0373100119619000006;30.11.24.115: Суда грузопассажирские морские;30.11.24.115: Суда грузопассажирские морские;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";25.06.2019;06.08.2019;Определение поставщика завершено;;25.06.2019;23.07.2019;;;;;
№0549100000219000001;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;19.07.2019;05.08.2019;Определение поставщика завершено;;19.07.2019;05.08.2019;;;;;
№0373100119619000002;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";16.05.2019;20.06.2019;Определение поставщика завершено;;16.05.2019;07.06.2019;;;;;
№0172200002519000078;30.11.32.121: Буксиры речные;30.11.32.121: Буксиры речные;КОМИТЕТ ПО ПРИРОДОПОЛЬЗОВАНИЮ, ОХРАНЕ ОКРУЖАЮЩЕЙ СРЕДЫ И ОБЕСПЕЧЕНИЮ ЭКОЛОГИЧЕСКОЙ БЕЗОПАСНОСТИ;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;22.04.2019;19.06.2019;Определение поставщика отменено;;22.04.2019;23.05.2019;;;;;
№0490000000818000008;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";26.12.2018;24.01.2019;Определение поставщика завершено;;26.12.2018;16.01.2019;;;;;
№0490000000818000007;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";26.12.2018;24.01.2019;Определение поставщика завершено;;26.12.2018;16.01.2019;;;;;
№0373100119618000007;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";28.12.2018;28.12.2018;Определение поставщика завершено;;;;;;;;
№0573100002018000010;30.11.24.118: Паромы морские самоходные железнодорожные, автомобильно-транспортные;30.11.24.118: Паромы морские самоходные железнодорожные, автомобильно-транспортные;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";24.12.2018;26.12.2018;Определение поставщика отменено;;;24.12.2018;;;;;
№31807246059;30.11.32: Буксиры и суда-толкачи;30.11.32: Буксиры и суда-толкачи;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;04.12.2018;04.12.2018;Закупка завершена;;04.12.2018;17.12.2018;;;;;
№0773100000318000057;30.11.10.000: Корабли военные;30.11.10.000: Корабли военные;"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""";"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""";15.08.2018;06.11.2018;Определение поставщика завершено;;15.08.2018;05.10.2018;;;;;
№31806499934;30.11.24.118: Паромы морские самоходные железнодорожные, автомобильно-транспортные;30.11.24.118: Паромы морские самоходные железнодорожные, автомобильно-транспортные;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;18.05.2018;25.05.2018;Закупка завершена;;18.05.2018;31.05.2018;;;;;
№0173100009918000015;30.11.40.000: Платформы плавучие или погружные и инфраструктура;30.11.40.000: Платформы плавучие или погружные и инфраструктура;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО ГИДРОМЕТЕОРОЛОГИИ И МОНИТОРИНГУ ОКРУЖАЮЩЕЙ СРЕДЫ;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО ГИДРОМЕТЕОРОЛОГИИ И МОНИТОРИНГУ ОКРУЖАЮЩЕЙ СРЕДЫ;20.04.2018;07.05.2018;Определение поставщика завершено;;;;;;;;
№31704961545;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;31.03.2017;03.04.2017;Закупка завершена;;31.03.2017;;;;;;
№31704962025;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;31.03.2017;31.03.2017;Закупка завершена;;31.03.2017;;;;;;
№31704961788;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;31.03.2017;31.03.2017;Закупка завершена;;31.03.2017;31.03.2017;;;;;
№31704961137;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;31.03.2017;31.03.2017;Закупка завершена;;31.03.2017;;;;;;
№1372000000317000001;30.11.33.140: Краны плавучие;30.11.33.140: Краны плавучие;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";15.03.2017;15.03.2017;Определение поставщика завершено;;;;;;;;
№31604610575;"30.11.21: Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов";"30.11.21: Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;29.12.2016;29.12.2016;Закупка завершена;;29.12.2016;;;;;;
№31604610566;"30.11.21: Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов";"30.11.21: Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;29.12.2016;29.12.2016;Закупка завершена;;29.12.2016;;;;;;
№31604543535;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;Федеральное государственное унитарное предприятие атомного флота;;21.12.2016;21.12.2016;Закупка завершена;;21.12.2016;;;;;;
№0424100000316000008;30.11.33.140: Краны плавучие;30.11.33.140: Краны плавучие;"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";"Открытое акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";01.03.2016;19.03.2016;Определение поставщика завершено;;01.03.2016;17.03.2016;;;;;
№31603306178;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;Федеральное государственное унитарное предприятие атомного флота;;11.02.2016;11.02.2016;Закупка завершена;;11.02.2016;;;;;;
№32514922637;30.11.31.120: Суда-рыбозаводы;30.11.31.120: Суда-рыбозаводы;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;05.06.2025;05.06.2025;Закупка завершена;;05.06.2025;17.06.2025;;;;;
