Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№31806162433;Прочие;Открытый запрос предложений (№ ЦА 02-18) по выбору организаций на право заключения договоров на строительство судов для нужд Астраханского филиала ФГУП «Росморпорт». Лот № 1 – строительство и поставка несамоходного фрезерного земснаряда высокой производительности для нужд Астраханского филиала ФГУП «Росморпорт» Лот № 2 – строительство и поставка судна обеспечения для Астраханского филиала ФГУП «Росморпорт» ;;;1;Лот № 1 – строительство и поставка несамоходного фрезерного земснаряда высокой производительности для нужд Астраханского филиала ФГУП «Росморпорт»;480000000.00;RUB;;;;;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;20.02.2018;15.03.2018;Закупка отменена;;20.02.2018;05.04.2018;
44-ФЗ;№0373100119816000002;Открытый конкурс;Выполнение работ по строительству объекта «Обновление обслуживающего флота» (строительство несамоходного земснаряда производительностью 1000 м3/час класса РРР «X О 2,0 (лед 40) А»);;;;;834434103.00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";09.09.2016;24.01.2018;Определение поставщика завершено;;15.09.2016;03.10.2016;
44-ФЗ;№0373100119817000003;Открытый конкурс;выполнение работ по строительству объекта «Промерный флот» (строительство промерного судна класса РРР «? Рмс 1,2 А»);;'171770723151077070100100070013011414';;;195498257.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";09.11.2017;04.01.2018;Определение поставщика завершено;;10.11.2017;30.11.2017;
44-ФЗ;№0373100119817000008;Повторный конкурс;выполнение работ по строительству объекта «Промерный флот» (строительство промерного судна класса РРР «? О 2,0 (лед 20) А»);;'171770723151077070100100080013011414';;;197473610.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";30.11.2017;31.12.2017;Определение поставщика завершено;;30.11.2017;11.12.2017;
44-ФЗ;№0373100119817000007;Открытый конкурс;выполнение работ по строительству объекта «Обстановочный теплоход» (строительство обстановочного судна пр. 3265 класса РРР «X М 3,0 (лед 30) А»);;'171770723151077070100100190033011414';;;299800000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";17.11.2017;31.12.2017;Определение поставщика завершено;;17.11.2017;11.12.2017;
44-ФЗ;№0373100119817000005;Открытый конкурс;выполнение работ по строительству объекта «Судно, предназначенное для сбора и переработки отходов, утилизации нефтесодержащих вод» (строительство танкера-бункеровщика - экологического судна пр. RТ37 класса РРР «X М 3,0 (лед 30) А»);;'171770723151077070100100050023011414';;;630000000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";15.11.2017;09.12.2017;Определение поставщика завершено;;16.11.2017;06.12.2017;
44-ФЗ;№0138200001217000020;Электронный аукцион;Поставка грузопассажирских барж грузоподъёмностью 40 тонн;;'172410112433841010100100230013011412';;;143000000.00;RUB;;;;;30.11.24.115: Суда грузопассажирские морские;30.11.24.115: Суда грузопассажирские морские;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ФИНАНСОВ КАМЧАТСКОГО КРАЯ;30.10.2017;05.12.2017;Определение поставщика завершено;;30.10.2017;16.11.2017;
44-ФЗ;№0124200000617000988;Электронный аукцион;приобретение речных судов для осуществления пассажирских перевозок;;'173290126558129010100100320233011412';;;480000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ДЕПАРТАМЕНТ ГОРОДСКОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД АРХАНГЕЛЬСК""";КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;27.03.2017;03.12.2017;Определение поставщика завершено;;27.03.2017;13.04.2017;
44-ФЗ;№0373100119817000004;Открытый конкурс;выполнение работ по строительству объекта «Промерный флот» (строительство промерного судна класса РРР «? О 2,0 (лед 20) А»);;'171770723151077070100100080013011414';;;197473610.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";09.11.2017;30.11.2017;Определение поставщика завершено;;10.11.2017;30.11.2017;
223-ФЗ;№31705786463;Прочие;"Приобретение Буксира по объекту ""Техническое перевооружение гидротехнических сооружений, судоподъемного и транспортно-передаточного комплекса"" ";;;1;"Приобретение Буксира по объекту ""Техническое перевооружение гидротехнических сооружений, судоподъемного и транспортно-передаточного комплекса"" ";470454545.45;RUB;;;;;30.11.32.111: Буксиры морские;30.11.32.111: Буксиры морские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";;25.11.2017;25.11.2017;Закупка завершена;;25.11.2017;;
223-ФЗ;№31705438940;Прочие;Открытый запрос предложений (№ ЦА 50-17) по выбору организаций на право заключения договоров купли-продажи судов для нужд Азовского бассейнового филиала ФГУП «Росморпорт»;;;1;Поставка самоходного многочерпакового земснаряда;210000000.00;RUB;;;;;"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;18.08.2017;18.08.2017;Закупка завершена;;18.08.2017;31.08.2017;
223-ФЗ;№31705371852;Закупка у единственного поставщика (подрядчика, исполнителя);Строительство, оборудование и комплектация буксира, спуск на воду, поставка заказчику, осуществление приемо-сдаточных испытаний ;;;1;Строительство, оборудование и комплектация буксира, спуск на воду, поставка заказчику, осуществление приемо-сдаточных испытаний ;223748963.81;RUB;;;;;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СЕВЕРНОЕ МАШИНОСТРОИТЕЛЬНОЕ ПРЕДПРИЯТИЕ""";;28.07.2017;28.07.2017;Закупка завершена;;28.07.2017;;
223-ФЗ;№31705271521;Открытый аукцион в электронной форме;Лот № А-26.2017 «Поставка судна-нефтемусоросборщика ледового класса»;;;1;Поставка судна-нефтемусоросборщика ледового класса;322945682.88;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСНЕФТЬ - СЕРВИС""";;28.06.2017;28.06.2017;Закупка отменена;;28.06.2017;19.07.2017;
223-ФЗ;№31705190221;Открытый аукцион в электронной форме;А-13.8.18 Водный транспорт (буксир-толкач);;;1;А-13.8.18 Водный транспорт (буксир-толкач);104000000.00;RUB;;;;;;;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ""";05.06.2017;05.06.2017;Закупка завершена;;05.06.2017;26.06.2017;
44-ФЗ;№0171100003717000008;Электронный аукцион;Катер со стационарным двигателем мощностью свыше 300 л.с. с трейлером для транспортировки;;'171760407104676040100100260163011212';;;103950000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;17.04.2017;23.05.2017;Определение поставщика завершено;;17.04.2017;06.05.2017;
223-ФЗ;№31705031915;Открытый аукцион в электронной форме;А-13.2.18 Водный транспорт (буксир-толкач);;;1;А-13.2.18 Водный транспорт (буксир-толкач);104000000.00;RUB;;;;;;;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ""";19.04.2017;19.04.2017;Закупка отменена;;19.04.2017;10.05.2017;
44-ФЗ;№0173100005017000002;Электронный аукцион;Суда прочие;;'171771454975177140100100030013011414';;;190100000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;20.02.2017;28.03.2017;Определение поставщика завершено;;20.02.2017;09.03.2017;
223-ФЗ;№31704807915;Закупка у единственного поставщика (подрядчика, исполнителя);Скоростной многоцелевой катер;;;1;Скоростной многоцелевой катер ;110000000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;17.02.2017;17.02.2017;Закупка завершена;;17.02.2017;;
223-ФЗ;№31704733029;Открытый аукцион в электронной форме;А-13.1.18 Водный транспорт (катер-нефтесборщик);;;1;А-13.1.18 Водный транспорт (катер-нефтесборщик);219480000.00;RUB;;;;;30.11.32.130: Катера судовые буксирные;30.11.32.130: Катера судовые буксирные;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - ПРИКАМЬЕ""";;31.01.2017;31.01.2017;Закупка завершена;;31.01.2017;21.02.2017;
44-ФЗ;№0424100000216000079;Конкурс с ограниченным участием;Конструирование, изготовление и поставка Стоечного судна (емкости для хранения ЖРО) (1 шт.) для АО ЦС Звездочка по объекту Техническое перевооружение гидротехнических сооружений, судоподъемного и транспортно-передаточного комплекса в рамках ФЦП РАЗВИТИЕ ОБОРОННО-ПРОМЫШЛЕННОГО КОМПЛЕКСА НА 2011 - 2020 ГОДЫ.;;;;;508525253.29;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"Акционерное общество ""Центр судоремонта ""Звездочка""";"Акционерное общество ""Центр судоремонта ""Звездочка""";15.09.2016;02.11.2016;Определение поставщика завершено;;15.09.2016;07.10.2016;
44-ФЗ;№0424100000316000015;Открытый конкурс;Строительство, оборудование и комплектация транспортного понтона, спуск на воду, поставка заказчику, осуществление приемо-сдаточных испытаний, швартовных и ходовых испытаний;;;;;791203146.88;RUB;;;;;30.11.50.120: Понтоны;30.11.50.120: Понтоны;"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";14.09.2016;14.10.2016;Определение поставщика завершено;;15.09.2016;05.10.2016;
223-ФЗ;№31604051550;Закупка у единственного поставщика (подрядчика, исполнителя);Судно проекта SDS 18;;;1;Судно проекта SDS 18;566000000.00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114: Буксиры морские спасательные;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;31.08.2016;31.08.2016;Закупка завершена;;31.08.2016;;
223-ФЗ;№31603891359;Прочие;Открытый запрос предложений (№ ЦА 32-16) по выбору организации на право заключения договора на выполнение работ по строительству лоцмейстерского судна ледового класса проекта BLV-04 для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП «Росморпорт»;;;1;Выполнение работ по строительству лоцмейстерского судна ледового класса проекта BLV-04 для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП «Росморпорт» ;319000000.00;RUB;;;;;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;15.07.2016;29.07.2016;Закупка отменена;;15.07.2016;04.08.2016;
44-ФЗ;№0424100000316000004;Открытый конкурс;Проектирование, строительство, оборудование и комплектация полупогружного понтона, спуск на воду, поставка заказчику, осуществление приемо-сдаточных испытаний, швартовных и ходовых испытаний;;;;;758982737.50;RUB;;;;;30.11.50.120: Понтоны;30.11.50.120: Понтоны;"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";"Открытое акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";15.02.2016;24.03.2016;Определение поставщика завершено;;16.02.2016;18.03.2016;
44-ФЗ;№0173100005016000002;Электронный аукцион;Поставка построенных патрульных катеров для территориальных управлений Государственного морского и речного надзора Федеральной службы по надзору в сфере транспорта;;;;;216918500.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;17.02.2016;12.03.2016;Определение поставщика завершено;;17.02.2016;06.03.2016;
223-ФЗ;№31806545631;Прочие;Проект, поставка и строительство нефтеналивных барж грузоподъемностью 2000 тн.;;;1;Проект, поставка и строительство нефтеналивных барж грузоподъемностью 2000 тн.;294000000.00;RUB;;;;;30.11.22.120: Суда наливные речные;30.11.22.120: Суда наливные речные;"АКЦИОНЕРНОЕ ОБЩЕСТВО СУДОХОДНАЯ КОМПАНИЯ ""АЛРОСА-ЛЕНА""";;30.05.2018;20.07.2018;Закупка завершена;;30.05.2018;15.06.2018;
223-ФЗ;№31604621288;Закупка у единственного поставщика (подрядчика, исполнителя);Проектирование и строительство лоцмейстерского катера с ледовым усилением  для морского порта Калининград ;;;1;Проектирование и строительство лоцмейстерского катера с ледовым усилением  для морского порта Калининград ;174850000.00;RUB;;;;;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;29.12.2016;29.12.2016;Закупка завершена;;29.12.2016;;
44-ФЗ;№0171100003717000010;Электронный аукцион;Катер с двигателем мощностью свыше 60 л.с. с трейлером для транспортировки;;'171760407104676040100100290193011212';;;98401700.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;09.06.2017;04.12.2017;Определение поставщика завершено;;09.06.2017;25.06.2017;
223-ФЗ;№31603299363;Иной способ;А-13.82.16 Водный транспорт (катера буксиры-толкачи);;;1;А-13.82.16 Водный транспорт (катера буксиры-толкачи);95799999.98;RUB;;;;;30.11.32.130: Катера судовые буксирные;30.11.32.130: Катера судовые буксирные;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - СИБИРЬ""";;09.02.2016;09.02.2016;Закупка завершена;;09.02.2016;01.03.2016;
44-ФЗ;№0172100010118000002;Электронный аукцион;Поставка катеров с подвесным двигателем мощностью свыше 60 л.с. с трейлером для транспортировки;;'181784030893278400100100040013011212';;;95711000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО Г. САНКТ-ПЕТЕРБУРГУ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО Г. САНКТ-ПЕТЕРБУРГУ;12.02.2018;06.03.2018;Определение поставщика завершено;;12.02.2018;28.02.2018;
44-ФЗ;№0372100047320000043;Электронный аукцион;Средства транспортные;;'201781203357078380100100540010000000';;;85759000.00;RUB;;;;;"28.11.11.000: Двигатели лодочные подвесные; 30.11.33.190: Суда прочие";"30.11.33.190-00000004: Катер (мотолодка); 30.11.33.190-00000003: Катер (мотолодка)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЕВЕРО-ЗАПАДНОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЕВЕРО-ЗАПАДНОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";04.03.2020;11.03.2020;Определение поставщика завершено;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;04.03.2020;11.03.2020;
44-ФЗ;№0173100004519001727;Закрытый аукцион;Поставка гребно-парусных судов.;;'191770425226177040100161290013011211';;;85688676.75;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;17.09.2019;25.09.2019;Определение поставщика завершено;;17.09.2019;04.10.2019;
44-ФЗ;№0172100010118000001;Электронный аукцион;Поставка катеров со стационарным двигателем мощностью свыше 300 л.с. С трейлером для транспортировки;;'181784030893278400100100020013011212';;;82368000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО Г. САНКТ-ПЕТЕРБУРГУ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО Г. САНКТ-ПЕТЕРБУРГУ;12.02.2018;13.03.2018;Определение поставщика завершено;;12.02.2018;12.03.2018;
44-ФЗ;№0348100046519000005;Электронный аукцион;Катер с подвесным двигателем мощностью свыше 60 л.с. с трейлером для транспортировки ;;'191504702469450470100100000173011212';;;79519935.93;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНАЯ БАЗА ИЗМЕРИТЕЛЬНОЙ ТЕХНИКИ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНАЯ БАЗА ИЗМЕРИТЕЛЬНОЙ ТЕХНИКИ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ""";02.04.2019;29.05.2019;Определение поставщика завершено;;02.04.2019;17.05.2019;
44-ФЗ;№0171100003717000009;Электронный аукцион;Катер с навесным двигателем мощностью не более 300 л.с.;;'171760407104676040100100270153011212';;;72652000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;18.04.2017;04.12.2017;Определение поставщика завершено;;18.04.2017;03.05.2017;
44-ФЗ;№0195400000219000628;Электронный аукцион;Специальный скоростной катер серии «Афалина» проекта ТР.529;;'191772237786677220100110005123011211';;;72323454.86;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;04.10.2019;17.10.2019;Определение поставщика завершено;;04.10.2019;16.10.2019;
44-ФЗ;№0373100064620000538;Закрытый аукцион;Закупка катера NorthSilver 1440для обеспечения государственных нуждв 2020 году;;'201770236131477020100100002483011211';;;70750000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";13.08.2020;20.08.2020;Определение поставщика завершено;;14.08.2020;02.09.2020;
